amenity,lat,lon,name,category,amnt_id
fast_food,49.27929,-123.122665,Hungry Guys,Food,764
restaurant,49.277416,-123.125534,Wings,Food,765
cafe,49.272583,-123.147995,Juliet's Cafe,Food,766
fast_food,49.272594,-123.14848,Flying Wedge Pizza,Food,767
fast_food,49.272583,-123.148705,Planet Veg,Food,768
fast_food,49.272587,-123.148315,Vera's Burger Shack,Food,769
cafe,49.272583,-123.14861,Panne Rizo,Food,770
cafe,49.27259,-123.14889,Bean Around the World,Food,771
fast_food,49.272583,-123.14856,Al Basha,Food,772
pub,49.27259,-123.14879,Corduroy,Nightlife,773
restaurant,49.27261,-123.14914,Charqui Grill,Food,774
fast_food,49.272705,-123.14729,Siegel's Bagels,Food,775
restaurant,49.27248,-123.15455,Thai Basil,Food,776
cafe,49.27331,-123.11993,Starbucks,Food,777
pub,49.28487,-123.110985,Steamworks,Nightlife,778
bank,49.282,-123.117744,Scotiabank,Business,779
cafe,49.29084,-123.13421,YiFang Taiwan Fruit Tea,Food,780
bank,49.291275,-123.1354,Vancity,Business,781
restaurant,49.260902,-123.1392,Heirloom,Food,782
restaurant,49.23391,-123.15367,Ajisai Sushi Bar,Food,783
place_of_worship,49.258247,-123.139656,Pentecostal Tabernacle,Attraction,784
fast_food,49.272316,-123.15517,Nimby Burger,Food,785
pub,49.272446,-123.15531,Local Public Eatery,Nightlife,786
pub,49.271603,-123.15535,The Ellis,Nightlife,787
nightclub,49.280556,-123.1208,Bottleneck,Nightlife,788
fast_food,49.235252,-123.15574,Subway,Food,789
cafe,49.23546,-123.15609,Secret Garden Tea Company,Food,790
restaurant,49.236008,-123.15569,China Lan Lanzhou Beef Noodle,Food,791
restaurant,49.237656,-123.15564,White Spot,Food,792
restaurant,49.237453,-123.15563,Bufala,Food,793
cafe,49.23795,-123.15561,Comebuy Bubble Tea,Food,794
restaurant,49.237797,-123.15564,Sushi King House,Food,795
restaurant,49.234695,-123.15644,Jinya Ramen Bar,Food,796
cafe,49.234497,-123.15732,Caffè Artigiano,Food,797
cafe,49.23447,-123.15936,Legato Cafe,Food,798
restaurant,49.234768,-123.16166,Minerva,Food,799
cafe,49.23507,-123.161514,One Bowl,Food,800
restaurant,49.234375,-123.16151,Jin Jiang Japanese Restaurant,Food,801
restaurant,49.234535,-123.1619,Lok's Chinese Restaurant,Food,802
cafe,49.234478,-123.16059,Starbucks,Food,803
restaurant,49.236267,-123.18511,Moki's Pizza,Food,804
restaurant,49.257767,-123.18572,Dunbar Sushi,Food,805
restaurant,49.264526,-123.18458,Taste of Thai,Food,806
restaurant,49.26366,-123.1871,Rajio Japanese Public House,Food,807
cafe,49.263382,-123.18665,NOURISH,Food,808
fast_food,49.263878,-123.205,Subway,Food,809
restaurant,49.263897,-123.205894,Enigma Urban Eatery & Bar,Food,810
cafe,49.263924,-123.20618,Tim Hortons,Food,811
restaurant,49.263935,-123.20639,Ginger & Chili,Food,812
cafe,49.263668,-123.205185,Figaro Café + Bakery,Food,813
restaurant,49.263695,-123.20677,Takumi Japanese Restaurant,Food,814
restaurant,49.26367,-123.20716,Burgoo,Food,815
restaurant,49.263462,-123.208916,The Kitchen,Food,816
restaurant,49.263744,-123.21041,Pizza Hut,Food,817
restaurant,49.263714,-123.210846,The Diner,Food,818
cafe,49.263683,-123.20819,Darcy's Cafe,Food,819
restaurant,49.263702,-123.2077,Dentry's Irish Grill,Food,820
restaurant,49.263924,-123.20735,DoDo Sushi,Food,821
restaurant,49.25042,-123.03404,Lucky Plus Restaurant,Food,822
restaurant,49.262127,-123.029625,Happy Valley Dim Sum Seafood Restaurant,Food,823
fast_food,49.263046,-123.11597,Chipotle,Food,824
cafe,49.288757,-123.11509,Bellaggio Café & Gelateria,Food,825
fast_food,49.260853,-123.116165,A&W,Food,826
restaurant,49.271027,-123.1467,Blue Sky Japanese Bistro Ltd,Food,827
bicycle_rental,49.2782,-123.13695,Aquatic Centre,Transportation,828
bicycle_rental,49.266315,-123.116104,Olympic Village Station,Transportation,829
bicycle_rental,49.263546,-123.14808,Cypress & Broadway,Transportation,830
restaurant,49.278603,-123.11846,Per Se Social Corner,Food,831
restaurant,49.27648,-123.11489,On Yogurt,Food,832
fast_food,49.280643,-123.13128,Fit Camp Foods,Food,833
cafe,49.2885,-123.13917,3 Quarters Full Cafe,Food,834
restaurant,49.290565,-123.137054,Kingyo,Food,835
marketplace,49.273773,-123.09871,Main St. Station Farmers Market,Leisure,836
bus_station,49.273907,-123.096855,Vancouver Main Terminal,Transportation,837
pub,49.27829,-123.12419,Donnelan's,Nightlife,838
bank,49.234497,-123.13929,HSBC,Business,839
restaurant,49.23414,-123.13994,Grand Honour,Food,840
cafe,49.28502,-123.11459,Quantum Coffee,Food,841
bank,49.27737,-123.11979,RBC,Business,842
pub,49.282406,-123.111145,The Magnet,Nightlife,843
restaurant,49.282597,-123.11195,Osteria Autostrada,Food,844
restaurant,49.281834,-123.12341,Boston Pizza,Food,845
cafe,49.2787,-123.1302,Maple Leaf Delicatessen Coffe Shop,Food,846
courthouse,49.28108,-123.12318,Court of Appeal & Supreme Court,Business,847
courthouse,49.28136,-123.122795,Provincial Court of British Columbia,Business,848
restaurant,49.28201,-123.12297,Hubbub,Food,849
fast_food,49.28076,-123.124886,Sushi Maki,Food,850
bank,49.28977,-123.13781,Bank of Montreal,Business,851
restaurant,49.291775,-123.13837,Adesso,Food,852
cafe,49.291653,-123.13545,Starbucks,Food,853
restaurant,49.29181,-123.13519,Tetsu Sushi Bar,Food,854
bar,49.288578,-123.14265,Sylvia's Bar,Nightlife,855
restaurant,49.263405,-123.18728,Sushi Gallery,Food,856
restaurant,49.264183,-123.18405,Handi,Food,857
restaurant,49.26405,-123.17506,Cafe D'Lite,Food,858
pub,49.26404,-123.174706,Fringe,Nightlife,859
restaurant,49.264053,-123.17483,Ramen Sanpachi,Food,860
restaurant,49.263737,-123.21014,Gold Train Express,Food,861
restaurant,49.26403,-123.17452,nuba,Food,862
cafe,49.264015,-123.17336,Neverland Tea Salon,Food,863
spa,49.263992,-123.17181,Footworks Relaxology,Leisure,864
restaurant,49.263973,-123.17115,Acropol Taverna,Food,865
fast_food,49.263977,-123.17135,Quiznos,Food,866
restaurant,49.26395,-123.169525,Tandoori Fusion,Food,867
pub,49.263954,-123.16962,Yagger's Kits,Nightlife,868
fast_food,49.263935,-123.16782,Uncle Faith's Pizza,Food,869
restaurant,49.26393,-123.16761,iki Japanese Bistro,Food,870
fast_food,49.263233,-123.13646,Bella Pizza,Food,871
cafe,49.263256,-123.12764,Barista Cafe,Food,872
restaurant,49.263313,-123.129166,Shi Zen ha,Food,873
fast_food,49.263245,-123.12554,Subway,Food,874
restaurant,49.26322,-123.125244,Pondok,Food,875
restaurant,49.26318,-123.12215,Donair Spot,Food,876
fast_food,49.262833,-123.103226,Subway,Food,877
fast_food,49.262554,-123.06937,A&W,Food,878
fast_food,49.262875,-123.06953,Booster Juice,Food,879
restaurant,49.262672,-123.06937,Neptune Express,Food,880
fast_food,49.2628,-123.06936,Megabite Pizza,Food,881
bank,49.26251,-123.06994,Scotiabank,Business,882
fast_food,49.23832,-123.03232,Super Great Pizza,Food,883
bicycle_rental,49.290417,-123.125854,Coal Harbour Community Centre,Transportation,884
bicycle_rental,49.25895,-123.15261,Arbutus Greenway & 14th,Transportation,885
bicycle_rental,49.2585,-123.10481,14th & Ontario,Transportation,886
fast_food,49.226673,-123.09052,Freshslice Pizza,Food,887
cafe,49.231716,-123.090416,L & G Bubble Tea,Food,888
restaurant,49.226906,-123.09054,Pho Hong Restaurant,Food,889
fast_food,49.211094,-123.14071,Subway,Food,890
pub,49.280243,-123.12506,Relish,Nightlife,891
fast_food,49.280792,-123.119194,Red Burrito,Food,892
restaurant,49.28011,-123.125114,Gyu-Kaku,Food,893
cafe,49.28178,-123.11175,Java Cat,Food,894
pub,49.280033,-123.114685,Library Square Public House,Nightlife,895
bar,49.25902,-123.10084,Colony,Nightlife,896
restaurant,49.27772,-123.12678,Rorimomo,Food,897
cafe,49.277782,-123.126854,Truffles,Food,898
cafe,49.28382,-123.111885,Waves Coffee,Food,899
bureau_de_change,49.278126,-123.12735,Javan Exchange,Business,900
restaurant,49.268475,-123.16712,The Oakwood,Food,901
bureau_de_change,49.28567,-123.12616,Currency Exchange,Business,902
fast_food,49.28337,-123.11455,Peqish,Food,903
fast_food,49.284554,-123.11333,Kita no Donburi,Food,904
fast_food,49.283497,-123.1149,Pizza Vancouver,Food,905
bank,49.284775,-123.12205,CIBC,Business,906
restaurant,49.284798,-123.124306,Sushi Yan,Food,907
restaurant,49.28385,-123.114365,Chihuahua's,Food,908
cafe,49.284626,-123.12184,Starbucks,Food,909
fast_food,49.282623,-123.109344,Meat & Bread,Food,910
fast_food,49.282715,-123.109314,Fresh Bowl,Food,911
bicycle_rental,49.268375,-123.15743,Vine & 4th,Transportation,912
bicycle_rental,49.282734,-123.12206,Robson & Hornby,Transportation,913
bicycle_rental,49.26712,-123.109375,Columbia & 4th,Transportation,914
pub,49.270943,-123.15521,Chewies,Nightlife,915
bicycle_rental,49.267235,-123.15318,5th & Arbutus,Transportation,916
restaurant,49.253128,-123.08311,Dai Tung,Food,917
cafe,49.283318,-123.1191,Cafe Bel,Food,918
ice_cream,49.264267,-123.17185,I.ce Queen,Food,919
restaurant,49.264267,-123.1718,Pokay,Food,920
restaurant,49.264263,-123.171745,Harvest Delicatessen,Food,921
restaurant,49.26426,-123.17169,TeraVBurger,Food,922
bank,49.28598,-123.11893,Banque Nacionale Canada,Business,923
restaurant,49.23367,-123.034546,Sushi Aji,Food,924
restaurant,49.23189,-123.02888,Happy Tree House BBQ,Food,925
cafe,49.269,-123.04452,My Frosty,Food,926
restaurant,49.268417,-123.044464,Jiro Sushi & Ramen,Food,927
cafe,49.263454,-123.14077,Trees Organic,Food,928
cafe,49.263622,-123.15029,Blenz Coffee,Food,929
restaurant,49.263645,-123.15342,Gyo Para -Gyoza and Ramen Paradise,Food,930
cafe,49.26418,-123.15747,Hearts & Vine Cafe,Food,931
pub,49.264046,-123.15677,The Regal Beagle,Nightlife,932
cafe,49.264282,-123.18609,Good Earth Coffeehouse,Food,933
bank,49.266,-123.24611,Scotiabank,Business,934
cafe,49.265217,-123.250786,Starbucks,Food,935
cafe,49.265972,-123.25002,Loafe,Food,936
cafe,49.266,-123.246346,The Boulevard Coffee Roasting Co.,Food,937
cafe,49.267864,-123.15735,Kokomo,Food,938
restaurant,49.26371,-123.154686,Yagoto Sushi Dining,Food,939
cafe,49.263763,-123.15734,IGA Bistro,Food,940
restaurant,49.262867,-123.05692,Phoenix Garden,Food,941
bicycle_rental,49.286057,-123.12419,Georgia & Thurlow,Transportation,942
cafe,49.28478,-123.12277,Thierry,Food,943
restaurant,49.283195,-123.09492,The MacKenzie Room,Food,944
restaurant,49.250927,-123.07716,Dosa Factory,Food,945
restaurant,49.275616,-123.11517,Fresh Japanese Restaurant,Food,946
cafe,49.22743,-123.11683,Chatime,Food,947
pub,49.26882,-123.09675,Truck Stop Diner,Nightlife,948
fast_food,49.289673,-123.13844,Yeh!,Food,949
fast_food,49.28961,-123.138535,A&W,Food,950
fast_food,49.289715,-123.13838,Peaked Pies,Food,951
fast_food,49.289757,-123.13833,Panago,Food,952
cafe,49.289387,-123.13886,Tim Hortons,Food,953
restaurant,49.2623,-123.095856,Carp,Food,954
restaurant,49.31015,-123.08289,Little Tokyo Sushi,Food,955
cafe,49.31008,-123.08318,Starbucks,Food,956
cafe,49.31007,-123.08298,The Coffee Bun,Food,957
car_sharing,49.288116,-123.140785,Zipcar,Transportation,958
cafe,49.28172,-123.116554,Nosherie,Food,959
cafe,49.23952,-123.128654,Truffles Café,Food,960
restaurant,49.238655,-123.12982,Shaughnessy Restaurant,Food,961
ice_cream,49.27361,-123.11851,Bella Gelateria,Food,962
restaurant,49.279934,-123.13025,Banana Leaf,Food,963
bar,49.282883,-123.10379,Shebeen Whiskey House,Nightlife,964
restaurant,49.277573,-123.13185,Osaka Sushi,Food,965
pub,49.28289,-123.10409,Irish Heather,Nightlife,966
restaurant,49.28285,-123.11586,Gotham,Food,967
fountain,49.2972,-123.13399,Queen Victoria Memorial Fountain,Attraction,968
bicycle_rental,49.2832,-123.12048,Vancouver Art Gallery - North Plaza,Transportation,969
bicycle_rental,49.270924,-123.12599,David Lam Park - West,Transportation,970
restaurant,49.263596,-123.12813,Kaya Malay Bistro,Food,971
cafe,49.2551,-123.115364,JJ Bean,Food,972
ice_cream,49.255142,-123.11489,Rain or Shine Ice Cream,Food,973
ferry_terminal,49.270485,-123.12519,David Lam Park Terminal,Transportation,974
ferry_terminal,49.272484,-123.13394,Granville Island Terminal (Aquabus),Transportation,975
ferry_terminal,49.26942,-123.11876,Stamps Landing Dock,Transportation,976
ferry_terminal,49.27101,-123.11551,Spyglass Dock,Transportation,977
bicycle_rental,49.29791,-123.13072,Stanley Park - Information Booth,Transportation,978
bicycle_rental,49.298656,-123.12121,Stanley Park - Totem Poles,Transportation,979
bicycle_rental,49.299255,-123.130325,Stanley Park - Vancouver Aquarium,Transportation,980
bicycle_rental,49.294315,-123.14871,Stanley Park - Second Beach South,Transportation,981
bicycle_rental,49.295338,-123.15047,Stanley Park - Second Beach North,Transportation,982
restaurant,49.287064,-123.11283,Miku,Food,983
fast_food,49.27825,-123.12182,24 Train Express Noodle House,Food,984
nightclub,49.278522,-123.12385,Encore,Nightlife,985
fast_food,49.282055,-123.13357,La Belle Patate,Food,986
restaurant,49.281208,-123.13197,Gurkha Himalayan Kitchen,Food,987
restaurant,49.28202,-123.120445,Bistro Verde,Food,988
fast_food,49.27956,-123.10784,Sushi Den,Food,989
fast_food,49.281944,-123.10763,Noodle Box,Food,990
fast_food,49.28164,-123.10753,Tacomio,Food,991
bank,49.282177,-123.10735,TD Canada Trust,Business,992
restaurant,49.28201,-123.10803,Catch 122,Food,993
cafe,49.281803,-123.10746,Vegan Cave,Food,994
cafe,49.281902,-123.107506,Nectar,Food,995
restaurant,49.281994,-123.10797,Wildebeest,Food,996
cafe,49.281895,-123.107445,Prado,Food,997
restaurant,49.28153,-123.066055,Pelican Seafood Restaurant,Food,998
restaurant,49.281353,-123.06002,Van Dragon Seafood Restaurant,Food,999
restaurant,49.281452,-123.06382,Volcano Sushi & Grill,Food,1000
cafe,49.286224,-123.11616,Edel Express,Food,1001
cafe,49.28359,-123.11151,Bonchaz,Food,1002
cafe,49.285656,-123.11473,Caffè Artigiano,Food,1003
cafe,49.28451,-123.11437,CoCo Fresh Tea & Juice,Food,1004
cafe,49.282566,-123.11137,Social Crust,Food,1005
restaurant,49.283066,-123.112625,Ha Long Bay,Food,1006
fast_food,49.283833,-123.11331,Kyzock - House of Sushi Bowl,Food,1007
fast_food,49.283966,-123.11351,Me Crêpes,Food,1008
fast_food,49.28401,-123.11358,2001 Flavors,Food,1009
bar,49.2832,-123.112366,Yagger's,Nightlife,1010
cafe,49.28358,-123.1129,Moii Cafe,Food,1011
fast_food,49.283634,-123.11303,Koala Kebabs,Food,1012
fast_food,49.283707,-123.11312,Cham Mani,Food,1013
restaurant,49.284187,-123.11392,Caveman Cafe,Food,1014
fast_food,49.283737,-123.11317,Sushi Spin Roll,Food,1015
fast_food,49.283817,-123.11328,Fresh Slice,Food,1016
restaurant,49.284042,-123.12216,Salam Bombay,Food,1017
restaurant,49.283844,-123.10537,The Old Spaghetti Factory,Food,1018
bank,49.247242,-123.18541,BMO Bank of Montreal,Business,1019
restaurant,49.269657,-123.102905,Tractor,Food,1020
cafe,49.269398,-123.10296,Starbucks,Food,1021
pub,49.269436,-123.10352,Brewhall,Nightlife,1022
ice_cream,49.269905,-123.103096,Mario's Gelato,Food,1023
car_sharing,49.278736,-123.13381,Zipcar,Transportation,1024
cafe,49.261944,-123.103195,The Federal Store,Food,1025
clock,49.264137,-123.100914,Mount Pleasant Clock,Attraction,1026
restaurant,49.268124,-123.1017,Nuba,Food,1027
